Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
1762060,1777565,"SERPINF1, PEDF, OI6","Serpin peptidase inhibitor, clade F, member 1","Osteogenesis imperfecta, type VI, 613982 (3), Autosomal recessive",AR
1779485,1829902,SMYD4,SET and MYND domain-containing protein 4,,
1830005,1900082,"RPA1, PFBMFT6","Replication protein A1, 70kD","Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 6, 619767 (3), Autosomal dominant",AD
1934677,2025334,"RTN4RL1, NGRH2, NGR3",Reticulon 4 receptor-like 1,,
2030112,2043898,"DPH1, DPH2L1, OVCA1, DEDSSH",Diphthamide biosynthesis protein 1,"Developmental delay with short stature, dysmorphic facial features, and sparse hair, 616901 (3), Autosomal recessive",AR
2042022,2043425,OVCA2,OVCA2 serine hydrolase domain-containing protein,,
2049908,2050008,"MIR132, MIRN132",Micro RNA 132,,
2050271,2050380,"MIR212, MIRN212",Micro RNA 212,,
2055103,2063241,HIC1,Hypermethylated in cancer,,
2059839,2303785,"SMG6, EST1A, KIAA0732",SMG6 nonsense-mediated mRNA decay factor,,
2303378,2325264,SRR,Serine racemase,,
2322396,2336457,"TSR1, KIAA1401","TSR1, 20S r RNA accumulation, S. cerevisiae, homolog of",,
2337501,2381054,"SGSM2, KIAA0397",Small G protein signaling modulator 2,,
2384073,2401060,"MNT, ROX",MAX network transcriptional repressor,,
2593183,2685615,"PAFAH1B1, LIS1","Platelet-activating factor acetylhydrolase, isoform 1B, alpha subunit","Subcortical laminar heterotopia, 607432 (3), Autosomal dominant; Lissencephaly 1, 607432 (3), Autosomal dominant",AD
2689387,2712020,"CLUH, CLU1, KIAA0664","Clustered mitochondria, D. discoideum, homolog of",,
2755645,3037741,"RAP1GAP2, GARNL4, KIAA1039",RAP1 GTPase-activating protein 2,,
3088484,3104422,"OR1D2, OLFR1","Olfactory receptor, family 1, subfamily D, member 2",,
3197519,3198448,OR1A2,"Olfactory receptor, family 1, subfamily A, member 2",,
3207667,3218896,OR1A1,"Olfactory receptor, family 1, subfamily A, member 1",,
3400001,10800000,MRT33,"Intellectual developmental disorder, autosomal recessive 33","Intellectual developmental disorder, autosomal recessive 33, 614341 (2), Autosomal recessive",AR
3440019,3513858,SPATA22,Spermatogenesis-associated protein 22,,
3474110,3503405,ASPA,Aspartoacylase (aminoacylase-2),"Canavan disease, 271900 (3), Autosomal recessive",AR
3510502,3557812,"TRPV3, OLMS1, FNEPPK2","Transient receptor potential cation channel, subfamily V, member 3","?Palmoplantar keratoderma, nonepidermolytic, focal 2, 616400 (3), Autosomal dominant; Olmsted syndrome 1, 614594 (3), Autosomal dominant",AD
3565446,3609411,"TRPV1, VR1","Transient receptor potential cation channel, subfamily V, member 1 (vanilloid receptor 1; capsaicin receptor)",,
3608240,3636250,"SHPK, CARKL",Sedoheptulokinase,"[Sedoheptulokinase deficiency], 617213 (3), Autosomal recessive",AR
3636459,3663103,CTNS,Cystinosin,"Cystinosis, nephropathic, 219800 (3), Autosomal recessive; Cystinosis, ocular nonnephropathic, 219750 (3), Autosomal recessive; Cystinosis, late-onset juvenile or adolescent nephropathic, 219900 (3), Autosomal recessive; Cystinosis, atypical nephropathic, 219800 (3), Autosomal recessive",AR
3662895,3668578,"TAX1BP3, TIP1",TAX1-binding protein 3,,
3668812,3669665,EMC6,"Endoplasmic reticulum membrane protein complex, subunit 6",,
3673227,3696155,P2RX5,"Purinergic receptor P2X, ligand-gated ion channel, 5",,
3714628,3801188,"ITGAE, CD103","Integrin, alpha-E",,
3723903,3726699,"HASPIN, GSG2",Histone H3-associated protein kinase,,
3802158,3846246,"NCBP3, C17orf85",Nuclear cap-binding protein 3,,
3860315,3893053,"CAMKK1, CAMKKA","Calcium/calmodulin-dependent protein kinase kinase 1, alpha",,
3896592,3916465,"P2RX1, P2X1","Purinergic receptor P2X, ligand-gated ion channel, 1",,
3923873,3964437,"ATP2A3, SERCA3","ATPase, Ca(2+)-transporting, ubiquitous",,
4004445,4143030,"ZZEF1, KIAA0399",Zinc finger ZZ-type domain- and EF-hand domain-containing protein 1,,
4163821,4263979,"ANKFY1, ANKHZN, KIAA1255",Ankyrin repeats- and FYVE domain-containing protein 1,,
4269259,4366675,UBE2G,Ubiquitin-conjugating enzyme E2 G1,,
4433940,4488204,SPNS3,"Spinster, Drosophila, homolog of, 3",,
4498881,4539035,"SPNS2, DFNB115",Sphingolipid transporter 2,"?Deafness, autosomal recessive 115, 618457 (3), Autosomal recessive",AR
4538904,4555384,"MYBBP1A, P160",MYB-binding protein 1A,,
4556140,4560577,GGT6,Gamma-glutamyltransferase 6,,
4630919,4641678,ALOX15,Arachidonate 15-lipoxygenase,,
4669774,4704137,"PELP1, MNAR","Proline-, glutamic acid-, and leucine-rich protein 1",,
4710632,4721497,ARRB2,"Arrestin, beta 2",,
4731428,4733607,"MED11, NDDRSB",Mediator complex subunit 11,"Neurodegeneration with developmental delay, early respiratory failure, myoclonic seizures, and brain abnormalities, 620327 (3), Autosomal recessive",AR
4733533,4739928,CXCL16,CXC chemokine ligand-16,,
4739833,4746119,"ZMYND15, SPGF14",Zinc finger MYND-containing protein 15,"?Spermatogenic failure 14, 615842 (3), Autosomal recessive",AR
4771886,4783211,TM4SF5,"Transmembrane 4 superfamily, member 5",,
4796164,4798495,"PSMB6, LMPY","Proteasome subunit, beta-type, 6",,
4807152,4823430,PLD2,Phospholipase D2,,
4833340,4898061,"MINK1, MINK",Misshapen/nik-related kinase 1,,
4897771,4908677,"CHRNE, SCCMS, CMS4A, CMS4B, CMS4C","Cholinergic receptor, nicotinic, epsilon polypeptide","Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3), Autosomal recessive, Autosomal dominant; Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3), Autosomal recessive; Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3), Autosomal recessive",AD/AR
4932277,4935023,"GP1BA, BSS, BDPLT1, VWDP, BDPLT3","Glycoprotein Ib, platelet, alpha polypeptide","Bernard-Soulier syndrome, type A1 (recessive), 231200 (3), Autosomal recessive; Bernard-Soulier syndrome, type A2 (dominant), 153670 (3), Autosomal dominant; von Willebrand disease, platelet-type, 177820 (3), Autosomal dominant; {Nonarteritic anterior ischemic optic neuropathy, susceptibility to}, 258660 (3), Autosomal recessive",AD/AR
4937130,4940046,"SLC25A11, SLC20A4, OGC, PPGL6","Solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11","Pheochromocytoma/paraganglioma syndrome 6, 618464 (3), Autosomal dominant",AD
4940092,4945222,"RNF167, RING105",RING finger protein 167,,
4945652,4948530,"PFN1, ALS18",Profilin-1,"Amyotrophic lateral sclerosis 18, 614808 (3)",
4948710,4957129,"ENO3, GSD13","Enolase-3, beta, muscle","Glycogen storage disease XIII, 612932 (3), Autosomal recessive",AR
4959226,4967817,SPAG7,Sperm-associated antigen 7,,
4967997,4987675,"CAMTA2, KIAA0909",Calmodulin-binding transcription activator 2,,
4988130,4997522,"INCA1, HSD45","Inhibitor of CDK, cyclin A1-interacting protein 1",,
4997950,5028401,"KIF1C, LTXS1, KIAA0706, SPAX2",Kinesin family member 1C,"Spastic ataxia 2, autosomal recessive, 611302 (3), Autosomal recessive",AR
5032602,5042414,"SLC52A1, GPR172B, GPCR42, PAR2, FLJ10060, RBFVD","Solute carrier family 52, riboflavin transporter, member 1","Riboflavin deficiency, 615026 (3), Autosomal dominant",AD
5078467,5096374,ZFP3,Zinc finger protein-3,,
5105734,5123116,"ZNF232, ZSCAN11",Zinc finger protein 232,,
5116032,5174991,"USP6, TRE2",Ubiquitin-specific protease 6,,
5208920,5234860,"SCIMP, C17orf87",SLP adaptor- and CSK-interacting membrane protein,,
5282284,5386340,"RABEP1, RABPT5",RAB GTPase-binding effector protein 1,,
5384833,5419662,"NUP88, FADS4","Nucleoporin, 88-kD","Fetal akinesia deformation sequence 4, 618393 (3), Autosomal recessive",AR
5420182,5432877,"RPAIN, RIP",RPA-interacting protein,,
5432777,5439155,"C1QBP, HABP1, COXPD33",Complement component C1q binding protein (hyaluronic acid-binding protein 1),"Combined oxidative phosphorylation deficiency 33, 617713 (3), Autosomal recessive",AR
5440917,5468982,DHX33,DEAH-box helicase 33,,
5471254,5486817,DERL2,"DER1-like domain family, member 2",,
5486374,5490811,MIS12,MIS12 kinetochore complex component,,
5501396,5584509,"NLRP1, NALP1, KIAA0926, DEFCAP, CARD7, VAMAS1, MSPC, AIADK, JRRP","NLR family, pyrin domain containing 1","{Vitiligo-associated multiple autoimmune disease susceptibility 1}, 606579 (3); ?Respiratory papillomatosis, juvenile recurrent, congenital, 618803 (3), Autosomal recessive; Autoinflammation with arthritis and dyskeratosis, 617388 (3), Autosomal recessive, Autosomal dominant; Palmoplantar carcinoma, multiple self-healing, 615225 (3), Autosomal dominant",AD/AR
6069116,6124427,"WSCD1, KIAA0523",WSC domain-containing protein 1,,
6423738,6435121,"AIPL1, LCA4",Arylhydrocarbon-interacting receptor protein-like 1,"Leber congenital amaurosis 4, 604393 (3), Autosomal recessive, Autosomal dominant; Retinitis pigmentosa, juvenile, 604393 (3), Autosomal recessive, Autosomal dominant; Cone-rod dystrophy, 604393 (3), Autosomal recessive, Autosomal dominant",AD/AR
6444455,6451469,"PIMREG, RCS1, FAM64A",PICALM-interacting mitotic regulator,,
6451263,6556555,"PITPNM3, NIR1, CORD5","Phosphatidylinositol transfer protein, membrane-associated, 3","Cone-rod dystrophy 5, 600977 (3), Autosomal dominant",AD
6500001,10800000,"DEL17p13.1, C17DELp13.1",Chromosome 17p13.1 deletion syndrome,"Chromosome 17p13.1 deletion syndrome, 613776 (4), Autosomal dominant",AD
6500001,10800000,MGR10,"Migraine with or without aura, susceptibility to, 10","{Migraine with or without aura, susceptibility to, 10}, 610208 (2), Autosomal dominant",AD
6500001,83257441,"NOS2P1, NOS2C",Nitric oxide synthase 2 pseudogene 1,,
6578147,6640711,"KIAA0753, OFIP, OFD15, JBTS38, SRTD21",KIAA0753 gene,"?Orofaciodigital syndrome XV, 617127 (3), Autosomal recessive; ?Joubert syndrome 38, 619476 (3), Autosomal recessive; Short-rib thoracic dysplasia 21 without polydactyly, 619479 (3), Autosomal recessive",AR
6641060,6644541,"TXNDC17, TRP14, TXNL5",Thioredoxin domain-containing protein 17,,
6643311,6651605,"MED31, SOH1, SEP10",Mediator complex subunit 31,,
6684719,6713369,"SLC13A5, NACT, DEE25","Solute carrier family 13 (sodium-dependent citrate transporter), member 5","Developmental and epileptic encephalopathy 25, with amelogenesis imperfecta, 615905 (3), Autosomal recessive",AR
6755447,6775647,XAF1,XIAP-associated factor 1,,
6776215,6787646,"FBXO39, FBX39",F-box protein 39,,
6797993,6831729,TEKT1,Tektin 1,,
6996049,7010754,ALOX12,Arachidonate 12-lipoxygenase,,
7012624,7014532,RNASEK,Ribonuclease K,,
7014782,7017520,"C17orf49, BAP18",Chromosome 17 open reading frame 49,,
7017615,7017701,"MIR195, MIRN195",Micro RNA 195,,
7017911,7018022,MIR497,Micro RNA 497,,
7023050,7029644,"BCL6B, BAZF",BCL6B transcription repressor,,
7041621,7044092,"SLC16A11, MCT11","Solute carrier family 16, member 11",,
7074537,7080251,"CLEC10A, CLECSF14, MGL, HML, CD301","C-type lectin domain family 10, member A",,
7101322,7115146,ASGR2,Asialoglycoprotein receptor-2,,
7173431,7179370,ASGR1,Asialoglycoprotein receptor-1,,
7187187,7220050,"DLG4, PSD95, SAP90, MRD62",Discs large MAGUK scaffold protein 4,"Intellectual developmental disorder, autosomal dominant 62, 618793 (3), Autosomal dominant",AD
7217125,7225266,"ACADVL, VLCAD","Acyl-Coenzyme A dehydrogenase, very long chain","VLCAD deficiency, 201475 (3), Autosomal recessive",AR
7225342,7234517,DVL2,Dishevelled 2,,
7235038,7240828,PHF23,PHD finger protein 23,,
7240008,7242449,GABARAP,GABA-A receptor-associated protein,,
7243591,7251978,"CTDNEP1, DULLARD",C-terminal domain nuclear envelope phosphatase 1,,
7251724,7259940,"ELP5, DERP6, C17orf81","Elongator acetyltransferase complex, subunit 5",,
7259903,7263213,CLDN7,Claudin 7,,
7281718,7288257,"SLC2A4, GLUT4","Solute carrier family 2 (facilitated glucose transporter), member 4",,
7288263,7294639,"YBX2, MSY2, CSDA3, DBPC",Y box-binding protein 2,,
7306999,7312463,"EIF5A, FABAS",Eukaryotic translation initiation factor-5A,"Faundes-Banka syndrome, 619376 (3), Autosomal dominant",AD
7312661,7315360,GPS2,G protein pathway suppressor 2,,
7315628,7329335,"NEURL4, KIAA1787",Neuralized E3 ubiquitin protein ligase 4,,
7336529,7351477,"CENTB1, KIAA0050, ACAP1","Centaurin, beta-1",,
7352162,7354944,"KCTD11, REn",Potassium channel tetramerization domain-containing protein 11,,
7355156,7357219,TMEM95,Transmembrane protein 95,,
7380047,7389742,TNK1,"Tyrosine kinase, nonreceptor, 1",,
7389727,7394525,PLSCR3,Phospholipid scramblase 3,,
7402975,7404097,"TMEM256, C17orf61",Transmembrane protein 256,,
7404653,7419860,"NLGN2, KIAA1366",Neuroligin 2,,
7420324,7421632,"SPEM1, C17orf83",Spermatid maturation protein 1,,
7435435,7437679,"TMEM102, CBAP",Transmembrane protein 102,,
7438298,7444937,"FGF11, FHF3",Fibroblast growth factor-11,,
7445061,7457710,"CHRNB1, ACHRB, SCCMS, CMS2A, CMS2C","Cholinergic receptor, nicotinic, beta polypeptide-1, muscle","?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 (3), Autosomal recessive; Myasthenic syndrome, congenital, 2A, slow-channel, 616313 (3), Autosomal dominant",AD/AR
7459378,7484249,"ZBTB4, KIAA1538",Zinc finger and BTB domain-containing 4,,
7484366,7514616,"POLR2A, RPOL2, NEDHIB","Polymerase (RNA) II (DNA directed) polypeptide A, 220kD","Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities, 618603 (3), Autosomal dominant",AD
7549058,7557881,"TNFSF12, TWEAK, APO3L, DR3LG","Tumor necrosis factor ligand superfamily, member 12",,
7558282,7561601,"TNFSF13, APRIL, TALL2","Tumor necrosis factor ligand superfamily, member 13",,
7561919,7571969,SENP3,"Sentrin-specific protease family, member 3",,
7572825,7579006,"EIF4A1, DDX2A","Eukaryotic translation initiation factor 4A, isoform 1",,
7579638,7582111,CD68,Macrophage antigen CD68 (macrosialin),,
7583647,7588212,"MPDU1, SL15, CDGIF",Mannose-P-dolichol utilization defect 1,"Congenital disorder of glycosylation, type If, 609180 (3), Autosomal recessive",AR
7588178,7590094,"SOX15, SOX20",SRY (sex-determining region Y)-box 15,,
7591230,7614897,FXR2,FMR1 autosomal homolog 2,,
7614064,7633372,"SHBG, ABP",Sex hormone-binding globulin (androgen binding protein),,
7626234,7627876,"SAT2, SSAT2",Spermidine/spermine N(1)-acetyltransferase 2,,
7646627,7657770,"ATP1B2, AMOG","ATPase, Na+K+ transporting, beta-2 polypeptide",,
7668421,7687490,"TP53, P53, LFS1 , BCC7, BMFS5",Tumor protein p53,"{Basal cell carcinoma 7}, 614740 (3), Autosomal dominant; {Adrenocortical carcinoma, pediatric}, 202300 (3), Autosomal dominant; Hepatocellular carcinoma, somatic, 114550 (3); Breast cancer, somatic, 114480 (3); Li-Fraumeni syndrome, 151623 (3), Autosomal dominant; Pancreatic cancer, somatic, 260350 (3); Nasopharyngeal carcinoma, somatic, 607107 (3); {Osteosarcoma}, 259500 (3), Somatic mutation; {Choroid plexus papilloma}, 260500 (3), Autosomal dominant; {Colorectal cancer}, 114500 (3), Somatic mutation, Autosomal dominant; {Glioma susceptibility 1}, 137800 (3), Somatic mutation, Autosomal dominant; Bone marrow failure syndrome 5, 618165 (3), Autosomal dominant",AD
7686071,7703502,"WRAP53, TCAB1, WDR79, DKCB3",WD repeat-containing protein antisense to TP53,"Dyskeratosis congenita, autosomal recessive 3, 613988 (3), Autosomal recessive",AR
7705202,7711372,"EFNB3, EPLG8, LERK8, EFL6",Ephrin B3,,
7717744,7833742,"DNAH2, DNAHC2, SPGF45","Dynein, axonemal, heavy chain-2","Spermatogenic failure 45, 619094 (3), Autosomal recessive",AR
7834217,7854796,"KDM6B, JMJD3, KIAA0346, NEDCFSA",Lysine demethylase 6B,"Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities, 618505 (3), Autosomal dominant",AD
7855066,7856099,TMEM88,Transmembrane protein 88,,
7856685,7885420,"NAA38, LSMD1, MAK31","N-alpha-acetyltransferase 38, NatC auxiliary subunit",,
7884796,7912755,"CHD3, SNIBCPS",Chromodomain helicase DNA binding protein-3,"Snijders Blok-Campeau syndrome, 618205 (3), Autosomal dominant",AD
7921859,7929856,"KCNAB3, KCNA3B","Potassium voltage-gated channel, shaker-related subfamily, beta member 3",,
7930345,7931999,"TRAPPC1, MUM2, BET5","Trafficking protein particle complex, subunit 1",,
7932081,7949920,"CNTROB, LIP8","Centrobin, centriole duplication and spindle assembly protein",,
8002615,8020342,"GUCY2D, GUC2D, LCA1, CORD6, RCD2, CACD1, CSNB1I","Guanylate cyclase 2D, retinal","Cone-rod dystrophy 6, 601777 (3), Autosomal recessive, Autosomal dominant; ?Choroidal dystrophy, central areolar 1, 215500 (3), Autosomal dominant; Leber congenital amaurosis 1, 204000 (3), Autosomal recessive; Night blindness, congenital stationary, type 1I, 618555 (3), Autosomal recessive",AD/AR
8039059,8049134,ALOX15B,"Arachidonate 15-lipoxygenase, second type",,
8072636,8087716,"ALOX12B, ARCI2","Archidonate 12-lipoxygenase, R type","Ichthyosis, congenital, autosomal recessive 2, 242100 (3), Autosomal recessive",AR
8095900,8118916,"ALOXE3, ARCI3",Arachidonate lipoxygenase 3,"Ichthyosis, congenital, autosomal recessive 3, 606545 (3), Autosomal recessive",AR
8119155,8119227,"TRNAK1, TRK1, TRK-TTT3-5",Transfer RNA lysine (TTT) 3-5,,
8119752,8119823,"TRQ-CTG1-5, TRNAQ1, TRQ1",tRNA glutamine (anticodon CTG) 1-5,,
8120314,8120395,"TRNAL2, TRL2",tRNA leucine-2,,
8120592,8126634,"HES7, SCDO4",Hes family bHLH transcription factor 7,"Spondylocostal dysostosis 4, autosomal recessive, 613686 (3), Autosomal recessive",AR
8120925,8121012,"TRR-TCT2-1, TRNAR1, TRR1",tRNA arginine (anticodon TCT) 2-1,,
8125746,8125816,"TRG-GCC2-6, TRNAG2, TRG2",tRNA glycine (anticodon GCC) 2-6,,
8140472,8152404,"PER1, PER, RIGUI",Period circadian regulator 1,,
8159147,8162948,"VAMP2, SYB2, NEDHAHM",Vesicle-associated membrane protein-2 (synaptobrevin-2),"Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements, 618760 (3), Autosomal dominant",AD
8172457,8176380,"TMEM107, MKS13, JBTS29",Transmembrane protein 107,"Orofaciodigital syndrome XVI, 617563 (3), Autosomal recessive; Meckel syndrome 13, 617562 (3), Autosomal recessive; ?Joubert syndrome 29, 617562 (3), Autosomal recessive",AR
8173452,8173588,"SNORD118, LCC","Small nucleolar RNA,  C/D box, 118","Leukoencephalopathy, brain calcifications, and cysts, 614561 (3), Autosomal recessive",AR
8188345,8190180,"BORCS6, C17orf59, LYSPERSIN","BLOC1-related complex, subunit 6",,
8204731,8210575,"STK12, ARK2, AIK2, AIM1",Serine/threonine protein kinase 12,,
8224815,8248056,"CTC1, CRMCC, C17orf68, AAF132",Conserved telomere maintenance component 1,"Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive",AR
8247608,8270486,"PFAS, FGARAT",phosphoribosylformylglycinamidine synthase (FGAR amidotransferase),,
8287763,8295400,SLC25A35,"Solute carrier family 25, member 35",,
8288670,8290087,"RANGRF, MOG1",RAN guanine nucleotide release factor,,
8310241,8322511,"ARGEF15, KIAA0915",Rho guanine nucleotide exchange factor 15,,
8339840,8346046,"ODF4, OPPO1",Outer dense fiber of sperm tails 4,,
8377516,8383193,"RPL26, DBA11",Ribosomal protein L26,"?Diamond-Blackfan anemia 11, 614900 (3), Autosomal dominant",AD
8474212,8630725,MYH10,"Myosin, heavy polypeptide-10, non-muscle",,
8413131,8474328,NUDEL,Nude-like protein (endooligopeptidase A),,
8747532,8758546,SPDYE4,"Speedy/RINGO cell cycle regulator family, member E4",,
8802722,8867677,"PIK3R6, C17orf38","Phosphatidylinositol 3-kinase, regulatory subunit 6",,
8878916,8965707,"PIK3R5, p101","Phosphatidylinositol 3-kinase, regulatory subunit 5","Ataxia-oculomotor apraxia 3, 615217 (3), Autosomal recessive",AR
9003087,9244000,"NTN1, NTN1L, MRMV4","Netrin 1, mouse, homolog of","Mirror movements 4, 618264 (3), Autosomal dominant",AD
9250471,9575820,STX8,Syntaxin 8,,
9576642,9645554,"CFAP52, WDR16, WDRPUH, HTX10",Cilia- and flagella-associated protein 52,"Heterotaxy, visceral, 10, autosomal, with male infertility, 619607 (3), Autosomal recessive",AR
9771438,9791592,"DHRS7C, SDR32C2","Short-chain dehydrogenase reductase family, member 7C",,
9825924,9892099,GLP2R,Glucagon-like peptide 2 receptor,,
9896320,9905271,"RCVRN, RCV1",Recoverin,,
9910606,10198606,GAS7,Growth arrest-specific 7,,
10300865,10373006,MYH13,"Myosin, heavy polypeptide 13, skeletal muscle",,
10390322,10421950,"MYH8, DA7","Myosin, heavy polypeptide-8, skeletal muscle, perinatal","Carney complex variant, 608837 (3); Trismus-pseudocamptodactyly syndrome, 158300 (3), Autosomal dominant",AD
10443263,10469559,MYH4,"Myosin, heavy polypeptide-4, skeletal muscle",,
10492307,10518542,MYH1,"Myosin, heavy polypeptide-1, skeletal muscle, adult",,
10521148,10549658,"MYH2, CMYP6","Myosin, heavy polypeptide-2, skeletal muscle, adult","Congenital myopathy 6 with ophthalmoplegia, 605637 (3), Autosomal recessive, Autosomal dominant",AD/AR
10628532,10678417,"MYH3, DA2A, DA2B3, DA8, CPSFS1A, CPSFS1B","Myosin, heavy polypeptide-3, skeletal muscle, embryonic","Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B, 618469 (3), Autosomal recessive; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant",AD/AR
10672474,10697533,"SCO1, SCOD1, MC4DN4",SCO cytochrome c oxidase assembly protein 1,"Mitochondrial complex IV deficiency, nuclear type 4, 619048 (3), Autosomal recessive",AR
10800001,16100000,AOMS2,Abdominal obesity-metabolic syndrome QTL2,"Abdominal obesity-metabolic syndrome, 605572 (2), Autosomal dominant",AD
10800001,33500000,DFNB85,"Deafness, autosomal recessive 85","Deafness, autosomal recessive 85, 613392 (2), Autosomal recessive",AR
10800001,42800000,ECTD6,"Ectodermal dysplasia 6, hair/nail type","Ectodermal dysplasia 6, hair/nail type, 614928 (2), Autosomal recessive",AR
10800001,22700000,YUHAL,Yuan-Harel-Lupski syndrome,"Yuan-Harel-Lupski syndrome, 616652 (4), Autosomal dominant",AD
10822470,10838087,PIRT,Phosphoinositide-interacting regulator of transient receptor potential channels,,
11241213,11564063,SHISA6,"Shisa family, member 6",,
